token,display_token,position,importance_score
▁ratio,▁ratio,22,0.011777525842519619
▁aspect,▁aspect,21,0.011396498756628305
ical,ical,17,0.010900341665027668
.,.,23,0.010693949005885396
ed,ed,15,0.010638321747745434
ber,ber,14,0.010571713554584517
▁unit,▁unit,20,0.010542331331704421
▁wings,▁wings,18,0.010521804899517505
▁con,▁con,16,0.01029667529364153
▁of,▁of,19,0.010264867631887985
cam,cam,13,0.009998227908335317
▁un,▁un,12,0.009731218071458322
ed,ed,60,0.009361775487490061
▁three,▁three,11,0.009346164062876968
▁on,▁on,10,0.009293478929780547
ic,ic,7,0.009187173593638106
eds,eds,9,0.009183223946770845
▁spe,▁spe,8,0.009172630784157514
person,person,6,0.009135705443621387
ber,ber,82,0.008980474041295544
8,8,41,0.00890698189354122
ences,ences,48,0.008879864662688846
▁on,▁on,83,0.008790130097101207
▁and,▁and,80,0.008786612339658323
▁edges,▁edges,65,0.008742801238645044
▁wings,▁wings,86,0.008733827579789737
.,.,40,0.008732595111589202
▁of,▁of,45,0.00869769824977667
▁with,▁with,62,0.008692358318195375
2,2,39,0.008653638740503974
▁on,▁on,49,0.00864285523140624
▁su,▁su,5,0.008574209601386258
▁at,▁at,4,0.008516667118602512
▁and,▁and,37,0.008479501885486115
▁range,▁range,44,0.008439361928354837
▁a,▁a,43,0.008433514990330722
▁by,▁by,108,0.008425896981294761
▁measurements,▁measurements,3,0.008397093661535088
▁,▁,38,0.008363184066404466
",",",",99,0.008305043189611967
▁were,▁were,106,0.008288475631396723
▁over,▁over,42,0.008204270761116223
▁three,▁three,50,0.008198880379266082
▁representing,▁representing,53,0.0081963354050011
▁wings,▁wings,61,0.008195942784488819
ber,ber,59,0.008034133041805438
▁models,▁models,52,0.008008694687045867
ure,ure,2,0.007946941364579012
▁and,▁and,100,0.00792582726667174
▁of,▁of,77,0.00790346917014895
▁un,▁un,57,0.007895269200843597
▁at,▁at,29,0.00788674202895952
3,3,36,0.007878056983452873
ender,ender,85,0.007871048878057138
ical,ical,56,0.007868988442830046
▁con,▁con,55,0.00786179401386755
▁simple,▁simple,51,0.007834758555855458
▁between,▁between,32,0.0078031835287955395
1,1,34,0.007795480464317868
▁made,▁made,28,0.007769244739955923
id,id,47,0.007754091704327758
.,.,66,0.007734457125174714
▁sharp,▁sharp,63,0.007719763088721614
▁,▁,33,0.007717710921799661
▁the,▁the,101,0.007709300811941223
.,.,87,0.007705317451121991
▁case,▁case,98,0.007648373153316045
▁These,▁These,67,0.0076467466067269285
▁numbers,▁numbers,31,0.007640995476609327
▁were,▁were,27,0.0076201144353915265
▁into,▁into,74,0.007607767060462305
▁inc,▁inc,46,0.007605633026463926
ness,ness,79,0.007549578083718506
▁sections,▁sections,105,0.007522308880948553
▁cam,▁cam,81,0.007487716470312554
▁an,▁an,72,0.007484349845961358
▁measurements,▁measurements,26,0.007481242824594085
▁Press,▁Press,24,0.007457841889391483
.,.,35,0.007444256914098251
▁leading,▁leading,64,0.007440689649108336
▁of,▁of,71,0.007430332309500084
▁the,▁the,75,0.00742046471292464
cam,cam,58,0.007417314819133063
▁investigation,▁investigation,73,0.007342289509316785
ure,ure,25,0.007341619084207443
▁the,▁the,92,0.007336452787266878
▁thick,▁thick,78,0.007289275636649195
▁models,▁models,93,0.007275843474532825
▁bounded,▁bounded,107,0.0072262902100418145
▁in,▁in,96,0.007183007918605721
▁each,▁each,97,0.007167333273553587
▁was,▁was,94,0.00715726226347589
▁thick,▁thick,54,0.00715125845524845
▁tests,▁tests,68,0.007142990964133273
▁mach,▁mach,30,0.007111831359783931
▁effects,▁effects,76,0.007090646726734436
▁ratio,▁ratio,90,0.0070874834358557555
▁of,▁of,91,0.007037365653204512
▁part,▁part,70,0.006975819956216604
▁sl,▁sl,84,0.006956241785256441
▁unity,▁unity,95,0.006928554643007595
▁form,▁form,69,0.006925395828727533
▁The,▁The,88,0.006859055378781039
▁The,▁The,111,0.006843626155104808
wise,wise,103,0.006586867100671157
▁span,▁span,102,0.006471822463876652
..,..,109,0.006445588356524664
▁Press,▁Press,1,0.006360347800165725
▁aspect,▁aspect,89,0.006294906330647354
▁cross,▁cross,104,0.0062094447791670535
▁,▁,110,0.005753856558415309
",",",",117,0.005430250550804697
▁with,▁with,119,0.00522084175152294
▁are,▁are,115,0.005079905249275036
▁measured,▁measured,112,0.005067823759058106
▁distributions,▁distributions,114,0.004921491617331402
▁presented,▁presented,116,0.004746275202932147
▁along,▁along,118,0.004616673729762279
▁pressure,▁pressure,113,0.004601388660656461
▁overall,▁overall,120,0.004426287321455821
▁and,▁and,122,0.004178645140334105
▁drag,▁drag,132,0.0039422633800939065
▁(,▁(,124,0.003930912326055894
▁drag,▁drag,123,0.0038418555208642423
▁lift,▁lift,121,0.0037392364145295135
▁and,▁and,130,0.0036506309440100288
cluding,cluding,126,0.003636228919574556
),),133,0.0035194915155042504
iction,iction,129,0.003425524574487654
ex,ex,125,0.003248093636263504
▁base,▁base,131,0.0027345947585217657
▁skin,▁skin,127,0.002727038662178363
▁integration,▁integration,136,0.0027138726834293535
▁fr,▁fr,128,0.002622664709498083
▁by,▁by,135,0.0025832657823448906
▁obtained,▁obtained,134,0.0025571111246442037
.,.,137,0.0024833107010213172
