token,display_token,position,importance_score
astic,astic,9,0.004305430339474455
el,el,8,0.004206474971284499
ature,ature,100,0.00416311711448267
.,.,11,0.004156322423991698
▁testing,▁testing,10,0.004119935372758129
ermo,ermo,7,0.004097563091256638
astic,astic,73,0.004077798698435394
▁parameter,▁parameter,150,0.004071330150723988
astic,astic,83,0.004054266303362955
▁parameter,▁parameter,146,0.004029231475213722
▁problem,▁problem,74,0.004013282703300526
ction,ction,145,0.003977039345397608
ermo,ermo,71,0.003974635850341904
▁and,▁and,147,0.0039701118665107366
",",",",57,0.003969458558939774
▁the,▁the,67,0.003926691494042095
ermo,ermo,81,0.0039249096409215214
▁combined,▁combined,68,0.0039140658364022664
",",",",103,0.0038867254131478724
oth,oth,6,0.003881099292171164
▁and,▁and,58,0.0038796395893932537
▁a,▁a,92,0.0038398988684058086
▁aer,▁aer,69,0.0038269274024530756
el,el,72,0.003821545122631195
▁problems,▁problems,63,0.0038205918503024386
-,-,98,0.0038136569096689204
▁number,▁number,137,0.0038129115957970736
▁tunnel,▁tunnel,102,0.0037981399671352264
▁model,▁model,84,0.0037925909891811747
▁aer,▁aer,79,0.0037900219529032487
",",",",50,0.0037846578447891938
ction,ction,53,0.003775828394037882
lection,lection,62,0.0037711588495313478
▁up,▁up,66,0.0037551996688240654
▁is,▁is,89,0.003753837811069156
ation,ation,97,0.003751134287097909
▁wind,▁wind,101,0.0037447077601173587
▁in,▁in,91,0.0037279430840788134
▁to,▁to,54,0.003723183938992431
▁parameter,▁parameter,142,0.0037191246218476275
oth,oth,70,0.003711995644498088
oth,oth,80,0.0037105144122502633
",",",",85,0.0036958267671185203
▁placed,▁placed,90,0.003692022851670289
▁the,▁the,87,0.0036908919542417173
▁which,▁which,64,0.003680176766854985
▁expansion,▁expansion,149,0.003680141760250634
▁where,▁where,86,0.0036772556382032515
▁for,▁for,115,0.003665429358650417
astic,astic,141,0.003664474404729712
▁the,▁the,43,0.0036568061670157227
▁the,▁the,55,0.0036557664874713814
-,-,94,0.0036496883711241886
▁a,▁a,138,0.0036465429949945546
▁the,▁the,77,0.003645311996936167
▁make,▁make,65,0.003642584941796303
temper,temper,99,0.0036424076192778593
▁aer,▁aer,5,0.0036412875588924544
