token,display_token,position,importance_score
▁ratio,▁ratio,22,0.012438391272183933
▁aspect,▁aspect,21,0.012046231648443958
ical,ical,17,0.011560261444879205
ed,ed,15,0.011300739185819695
.,.,23,0.011284321990171394
ber,ber,14,0.011239007232755935
▁unit,▁unit,20,0.011152774462015309
▁wings,▁wings,18,0.011149627131693422
▁con,▁con,16,0.010928966400384594
▁of,▁of,19,0.010868335594953196
cam,cam,13,0.010637795786339695
▁un,▁un,12,0.01036189385751186
▁three,▁three,11,0.009959693176530006
▁on,▁on,10,0.009911259607878904
ic,ic,7,0.009820438445998834
eds,eds,9,0.009801241106496725
▁spe,▁spe,8,0.009797439817652463
person,person,6,0.009772795582930347
ed,ed,60,0.009506321394596052
8,8,41,0.009241548333489133
▁su,▁su,5,0.009179016232996029
ences,ences,48,0.009145386162212072
▁at,▁at,4,0.009124196123976396
.,.,40,0.009069814528561053
▁measurements,▁measurements,3,0.00900273466252294
2,2,39,0.008996846755318798
▁of,▁of,45,0.008986874649394166
▁on,▁on,49,0.008891459440166118
▁and,▁and,37,0.008833278441923229
ber,ber,82,0.008826292375932607
▁edges,▁edges,65,0.008819934081035602
▁with,▁with,62,0.00880396394476326
▁a,▁a,43,0.008732273039438498
▁range,▁range,44,0.008729181730470981
▁,▁,38,0.008703528482598125
▁and,▁and,80,0.00866559183948025
▁on,▁on,83,0.008623938836823148
ure,ure,2,0.008526359255324786
▁wings,▁wings,86,0.008521651377017722
▁over,▁over,42,0.008503715467044884
▁three,▁three,50,0.008425294941359683
▁representing,▁representing,53,0.008393848556479138
▁wings,▁wings,61,0.008311892933922324
▁at,▁at,29,0.008278058024369036
3,3,36,0.008214750972537361
▁models,▁models,52,0.008211173428134502
ber,ber,59,0.00816844859027134
▁between,▁between,32,0.00816773730846598
▁made,▁made,28,0.00816211411725262
1,1,34,0.0081442928147496
▁,▁,33,0.008070689814119928
▁un,▁un,57,0.008047109110178693
▁simple,▁simple,51,0.00804202551650817
▁con,▁con,55,0.008032322764903116
ical,ical,56,0.008030050543962877
▁were,▁were,27,0.008012625740599424
▁numbers,▁numbers,31,0.008005415547410421
id,id,47,0.007994683548213973
",",",",99,0.007878425935933004
▁measurements,▁measurements,26,0.007873596556416656
▁Press,▁Press,24,0.007862750919191107
▁inc,▁inc,46,0.007850100627101907
▁of,▁of,77,0.00783336737128186
▁sharp,▁sharp,63,0.0078086668409592256
.,.,66,0.007792085056585306
▁by,▁by,108,0.007791909083451264
.,.,35,0.0077699146650721095
ure,ure,25,0.007733460915138794
▁were,▁were,106,0.007712898587970368
ender,ender,85,0.007694201355029964
▁These,▁These,67,0.007693102358619641
▁into,▁into,74,0.007576002415722464
cam,cam,58,0.007550692369544336
▁leading,▁leading,64,0.007516417223380336
.,.,87,0.0075038204272061815
▁and,▁and,100,0.007499678152226979
▁an,▁an,72,0.007475721645388317
ness,ness,79,0.007458120029337558
▁mach,▁mach,30,0.0074578846481951
▁of,▁of,71,0.00743276994157426
▁the,▁the,75,0.0073780341959936106
▁cam,▁cam,81,0.00737197328287987
▁investigation,▁investigation,73,0.007322804852395894
▁thick,▁thick,54,0.007315026925228411
▁the,▁the,101,0.007275869714233676
▁case,▁case,98,0.007273425859118914
▁thick,▁thick,78,0.007212883516062033
▁tests,▁tests,68,0.007176248974337298
▁the,▁the,92,0.007072736444671368
▁effects,▁effects,76,0.007039008107798799
▁sections,▁sections,105,0.007020864903214685
▁models,▁models,93,0.00699923689559164
▁part,▁part,70,0.006988303118955928
▁form,▁form,69,0.006947778545367068
▁was,▁was,94,0.006870047580779451
▁in,▁in,96,0.006863486012586055
▁ratio,▁ratio,90,0.006861249736408251
▁each,▁each,97,0.006832412686383941
▁Press,▁Press,1,0.006829050675801516
▁sl,▁sl,84,0.006812437014330233
▁of,▁of,91,0.006798698827249016
▁bounded,▁bounded,107,0.006703814044581655
▁The,▁The,88,0.006666730343315221
▁unity,▁unity,95,0.006635588965519331
▁The,▁The,111,0.00626460427850901
wise,wise,103,0.0061830208826021546
▁aspect,▁aspect,89,0.0061062957473031676
▁span,▁span,102,0.006091697508583555
..,..,109,0.005941091673572365
▁cross,▁cross,104,0.005812341671616348
▁,▁,110,0.0052855525236752895
",",",",117,0.004852367648916814
▁measured,▁measured,112,0.0046222075419456235
▁with,▁with,119,0.004620990666225301
▁are,▁are,115,0.004578975272339131
▁distributions,▁distributions,114,0.004454329221368699
▁presented,▁presented,116,0.004260075166782664
▁pressure,▁pressure,113,0.00418097735079712
▁along,▁along,118,0.004106224356930708
▁overall,▁overall,120,0.0038976830812387344
▁and,▁and,122,0.0036389152900127035
▁(,▁(,124,0.0033806020122883495
▁drag,▁drag,123,0.0033254053330984833
▁lift,▁lift,121,0.0032749278549705917
▁drag,▁drag,132,0.0031415718879622264
cluding,cluding,126,0.0030827415353502034
▁and,▁and,130,0.002983209434606635
iction,iction,129,0.0028289068654656032
ex,ex,125,0.0027741689488089316
),),133,0.002761764289884175
▁skin,▁skin,127,0.002293511815985221
▁base,▁base,131,0.0022084803421710494
▁fr,▁fr,128,0.002186621445323766
▁integration,▁integration,136,0.0019869784516213245
▁obtained,▁obtained,134,0.001970326344813064
▁by,▁by,135,0.001946554881025573
.,.,137,0.0017459251529111854
